gps;20967;-41.71421779374552;-67.64927093982358
odo;21965;-0.004237;0.0
gps;21968;-41.668097161603534;-67.73098493758533
odo;22165;-0.004619;0.0
gps;22168;-41.82121765817564;-67.61997724236394
odo;22365;-0.003854;0.0
gps;22368;-41.69761436582834;-67.70631656174588
odo;22565;-0.003854;0.0
gps;22568;-41.745579822595346;-67.71248365636303
odo;22765;-0.004619;0.0
gps;22768;-41.7787866776432;-67.62306079098711
odo;22965;-0.003089;0.0
gps;22969;-41.73451087091273;-67.70785833211367
odo;23165;-0.003854;0.0
gps;23169;-41.76402807592404;-67.71556719972783
odo;23365;-0.003472;0.0
gps;23369;-41.71052814292248;-67.7032330131227
odo;23565;-0.004619;0.0
gps;23569;-41.745579822595346;-67.75256976743081
odo;23765;-0.003854;0.0
gps;23769;-41.712372967547495;-67.76336218103896
odo;23965;-0.003854;0.0
gps;23970;-41.629355831894124;-67.8497014977917
odo;24165;-0.004237;0.0
gps;24170;-41.81752800813911;-67.74177735119349
odo;24365;-0.004619;0.019726
gps;24370;-41.66994198780154;-67.7386938051995
odo;24565;-0.004237;0.039453
gps;24570;-41.65702821070741;-67.86820278164319
odo;24765;-0.004237;0.177537
gps;24770;-41.79539010477387;-67.70631656174588
odo;24965;-0.003472;0.315621
gps;24971;-41.64964890984784;-67.72790139159135
odo;25165;-0.003472;0.453705
gps;25171;-41.65702821070741;-67.73406848357932
odo;25365;-0.001942;0.631242
gps;25371;-41.61644205479999;-67.54288856622236
odo;25565;-0.001942;0.769326
gps;25571;-41.47808015994703;-67.51976196337989
odo;25765;0.001118;0.966589
gps;25771;-41.395063023507156;-67.4056707247937
odo;25965;7.35E-4;1.104673
gps;25972;-41.20504602185065;-67.2191161264277
odo;26165;7.35E-4;1.242757
gps;26172;-41.221649448981324;-66.99864251161111
odo;26365;3.53E-4;1.380841
gps;26372;-40.94677048547343;-66.77508535080052
odo;26565;3.53E-4;1.499199
gps;26572;-40.6977190761538;-66.69028780704478
odo;26765;3.53E-4;1.637283
gps;26772;-40.68111564902312;-66.33413812116731
odo;26965;0.0015;1.81482
gps;26973;-40.34166780083104;-66.0581606626838
odo;27165;0.001882;1.933177
gps;27173;-40.12213359494973;-65.87623138593798
odo;27365;0.002265;2.031809
gps;27373;-40.01513372973311;-65.42294996707045
odo;27565;0.00303;2.13044
gps;27573;-39.61480664925288;-65.16084846818907
odo;27765;0.00303;2.268524
gps;27773;-39.410031044304226;-64.84478489600858
odo;27965;0.00303;2.386882
gps;27974;-39.10379005194649;-64.43004781521184
odo;28165;0.003795;2.446061
gps;28174;-38.81784213675597;-64.08623232119788
odo;28365;0.00456;2.584145
gps;28374;-38.53004939694044;-63.671495243030336
odo;28565;0.00456;2.702503
gps;28574;-38.19244637415988;-63.24288220000226
odo;28765;0.004942;2.781408
